<s>,<utt>,<utt>/<s>,speakers
41,380,9.268292683,4
43,483,11.23255814,4
37,613,16.56756757,6
61,300,4.918032787,5
42,437,10.4047619,3
67,596,8.895522388,4
114,647,5.675438596,2
0,0,  n/a,0
91,554,6.087912088,4
0,0,  n/a,0
60,521,8.683333333,4
0,0,  n/a,0
0,0,  n/a,0
64,536,8.375,3
41,384,9.365853659,3
97,419,4.319587629,5
121,558,4.611570248,5
90,891,9.9,6
69,456,6.608695652,8
67,496,7.402985075,5
129,585,4.534883721,5
63,566,8.984126984,5
57,456,8,5
74,675,9.121621622,6
56,514,9.178571429,7
67,653,9.746268657,6
67,718,10.71641791,5
55,454,8.254545455,6
117,1005,8.58974359,5
73,617,8.452054795,5
53,479,9.037735849,7
90,394,4.377777778,6
72,571,7.930555556,5
110,690,6.272727273,6
73,531,7.273972603,9
79,644,8.151898734,6
66,607,9.196969697,6
86,714,8.302325581,8
72,686,9.527777778,7
68,543,7.985294118,6
63,479,7.603174603,14
51,558,10.94117647,8
1,2,2,2
89,707,7.943820225,11
118,996,8.440677966,12
99,835,8.434343434,15
45,577,12.82222222,11
75,613,8.173333333,10
0,0,  n/a,0
117,922,7.88034188,13
102,931,9.12745098,9
69,626,9.072463768,16
56,492,8.785714286,9
58,481,8.293103448,17
85,965,11.35294118,15
61,708,11.60655738,12
83,579,6.975903614,15
90,686,7.622222222,14
52,599,11.51923077,16
96,1104,11.5,20
118,904,7.661016949,18
59,624,10.57627119,43
120,1258,10.48333333,17
Total, , ,
4339,36019,8.30122148,
